Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Parker Meadows","DET",82,298,9,39,28,9,0.083892617,0.255033557,0.188888889,0.306451612,0.244444444,0.309764309,0.433333333,0.32112619310918483,0.29193199131496994,109.68201013262961,2.974710486829281,6.276028824581847,4.780290722846985,2.1625618476367294,"Parker Meadows",23800,678009
"Jake Rogers","DET",102,337,10,43,36,1,0.065281899,0.293768545,0.15483871,0.251231527,0.196774193,0.255192878,0.351612903,0.2641894125512668,0.2997864783710584,69.63151594430666,-0.6431712806224823,-12.353217829426013,22.049227476119995,2.155652399420731,"Jake Rogers",19452,668670
"Logan O'Hoppe","LAA",136,522,20,64,56,2,0.06321839,0.296934865,0.164926931,0.318032786,0.244258872,0.303262955,0.409185803,0.31106662246865185,0.3312266423152043,101.63554472790581,-4.738881975412369,-3.7620080090592256,7.267851950600743,2.1499961377105437,"Logan O'Hoppe",24729,681351
"Ernie Clement","TOR",139,452,12,48,51,12,0.024336283,0.090707964,0.14516129,0.266318537,0.262672811,0.284444444,0.407834101,0.2974025495599267,0.2855309929166521,93.71789145944301,0.6402987167239189,-2.60869953712227,8.181702375411987,2.1237281565272474,"Ernie Clement",20352,676391
"Iván Herrera","STL",72,259,5,37,27,5,0.096525096,0.204633204,0.126637555,0.369942196,0.301310043,0.372093023,0.427947598,0.35088068015815677,0.3661348513592078,127.55132168957893,1.9076998233795166,10.44073401981545,1.4263900071382523,2.1200211971611256,"Ivan Herrera",20599,671056
"Cody Bellinger","CHC",130,569,18,72,78,9,0.079086115,0.156414762,0.160852714,0.287439613,0.265503875,0.32513181,0.426356589,0.32181783715176837,0.301307026601771,108.20991977933296,1.4024862051010132,6.988634547012054,-5.545312523841858,2.1140058164344273,"Cody Bellinger",15998,641355
"Lourdes Gurriel Jr.","ARI",133,553,18,72,75,7,0.052441229,0.182640144,0.155945419,0.313283208,0.278752436,0.32188065,0.434697855,0.32670330580161966,0.31889459361200745,108.1658338442476,-0.7039803490042686,4.695935034284109,-2.7348878383636475,2.1122220723673477,"Lourdes Gurriel Jr.",19238,666971
"Jake Cronenworth","SDP",155,656,17,72,83,5,0.092987804,0.179878048,0.149046793,0.274157303,0.240901213,0.323619631,0.389948006,0.31488512410708,0.33491233978506596,105.04430903732515,0.06086602807044983,4.017872944149872,-5.91820827126503,2.069119884774503,"Jake Cronenworth",18036,630105
"Matt Wallner","MIN",75,261,13,26,37,3,0.091954022,0.363984674,0.263636363,0.38938053,0.259090909,0.371647509,0.522727272,0.38523802583701766,0.35763301337815795,154.65853930460622,-0.10946856439113617,16.21368762159935,-4.886383295059204,2.063818540758747,"Matt Wallner",26466,670242
"Pete Alonso","NYM",162,695,34,91,88,3,0.100719424,0.247482014,0.21875,0.275862068,0.240131578,0.329496402,0.458881578,0.3398528206020637,0.34338917060929564,121.32928804600427,-4.231910601258278,13.494567082812907,-16.812599658966064,2.057383066270332,"Pete Alonso",19251,624413
